Date,URL,News
2024-10-20,https://www.thestar.com.my/sport/golf/2024/10/20/maybank-raises-the-bar-sky-high,"ALL is set for this week’s Maybank Championship that will bring together top-tier talent and promote excellence in the sport. Committed to fostering regional talent and empowering the next generation of golfers, Malaysia’s biggest golf – for men or women – is to be a unique platform of opportunity and achievement in South-East Asia."
2024-10-22,https://www.thestar.com.my/aseanplus/aseanplus-news/2024/10/22/maybank-championship-2024-asean-festival-of-culture-community-and-impact,"A special look at the highly-anticipated RM13 million (US$3 million) Maybank Championship as reported by the Maybank.com website KUALA LUMPUR: The Maybank Championship 2024 is set to unfold this Thursday (oct 24) at the iconic West Course of Kuala Lumpur Golf & Country Club (KLGCC), and there is already a huge buzz in golfing circles and beyond for the highly-anticipated Ladies Professional Golf Association (LPGA) showpiece."
2024-10-22,https://www.thestar.com.my/sport/golf/2024/10/22/maybank-cship-will-wow-local-fans-despite-absence-of-korda-and-ko,"PETALING JAYA: Despite the absence of world No. 1 Nelly Korda of the United States and Lydia Ko of New Zealand, the Maybank Championship starting this Thursday promises a feast for local golf fans with one of the strongest fields in the tournament’s history. This year’s tournament at Kuala Lumpur Golf and Country Club (KLGCC) will see a prize money of US$3mil (RM12.9mil), making it one of the richest events on the LPGA calendar."
2024-10-22,https://www.thestar.com.my/aseanplus/aseanplus-news/2024/10/22/it039s-all-out-action-as-asia039s-top-women-golfers-aims-for-the-stars-alongside-the-world039s-best-at-the-maybank-championship,"KUALA LUMPUR: The LPGA Tour’s swing through Asia continues in Kuala Lumpur, Malaysia with the Maybank Championship on Thursday (Oct 24). It’s one of the Tour’s newer stops that is being played for just the second time and will welcome 78 players from across the globe to compete in the 72-hole, no-cut event for a purse of US$3 million (RM13 million)."
2024-10-22,https://www.thestar.com.my/aseanplus/aseanplus-news/2024/10/22/french-star-boutier-and-asean039s-hope-jeeno-renew-rivalry-after-last-year039s-epic-battle-for-title-at-maybank-championship-beginning-thursday-oct-24,"KUALA LUMPUR: Two of the hottest players in the LPGA tour - France's Celine Boutier and Jeeno Thitikul of Thailand - have promised to light up the tournament when the Maybank Championships gets underway on Thursday at the Kuala Lumpur Golf and Country Club (KLGCC). During a joint press conference, French golfer Boutier and Jeeno were in high spirits and were ready to strut at the KLGCC fairways and greens when the tournaments tees off."
2024-10-23,https://www.thestar.com.my/aseanplus/aseanplus-news/2024/10/23/039it039s-going-to-be-one-challenging-tournament039---world-no-2-lilia-vu-accepts-the-tough-job-ahead-at-maybank-championship,"KUALA LUMPUR: World number two woman golfer Lilia Vu of United States excepts the fact that winning the Maybank Champoionship will be anything but easy. In fact, she is is braced for a double onslaught in the four-day 2024 Maybank Championship, which tees off ton Thursday (Oct 24)."
2024-10-24,https://www.thestar.com.my/aseanplus/aseanplus-news/2024/10/24/japan-rookie-mao-saigo-outshines-an-illustrious-field-to-take-a-one-shot-lead-at-maybank-championship,"ON a hot sunny day when the big names struggled to tame the course, rookie Mao Saigo carded an impressive nine-under-par 63 to take a one-shot lead after the first round of the LPGA Maybank Championship in Kuala Lumpur on Thursday. Also impressive was South Korea's Ryu Hae-ran who shot shot a 64, with Liu Ruixin of China and Taiwan's Hsu Wei-ling placed at tied third with matching 65s."
2024-10-25,https://www.thestar.com.my/aseanplus/aseanplus-news/2024/10/25/it039s-so-swede-as-maja-stark-grabs-the-second-round-lead-with-a-brilliant-display-at-maybank-championship,"SWEDEN's Maja Stark provided a sterling display and carded a six-under-par 66 for a one-shot lead at the halfway stage of a rain-interrupted LPGA Maybank Championship at the Kuala Lumpur Golf and Country Club on Friday (Oct 25). American Marina Alex, Taiwanese Hsu Wei-ling and the South Korean pair of An Na-rin and Ryu Hae-ran were in a share of second."
2024-10-25,https://www.thestar.com.my/aseanplus/aseanplus-news/2024/10/25/south-korean-stars-lead-the-way-for-asia-filipino-bianca-and-thai-jeeno-are-asean039s-best-at-halfway-stage-of-maybank-championship,"On a crowded field of leading players, three South Koreans are very much in the mix for the race for the title as the US$3 million (about RM13 million) Maybank Championship reaches the halfway mark at the Kuala Lumpur Golf and Country Club. In fact, besides the three Koreans who are leading the way for the region, the top 12 spots after the second round are loaded with Asians."
2024-10-26,https://www.thestar.com.my/aseanplus/aseanplus-news/2024/10/26/stupendous-finale-in-store-as-its-a-three-way-tie-between-three-close-friends-as-they-battle-it-out-for-the-top-prize-at-the-maybank-championship,"THAI star Jeeno Thitikul lost a lengthy playoff at the LPGA Tour's Maybank Championship in 2023. But on Saturday, she shot an 8-under 64 to leave her in a three-way tie for the lead after three rounds and with a chance to win the tournament outright this year. Jeeno, a big favourite with the locals, incidentally shares the top shot with best friend Yin Ruoning and the duo this year had even teamed up to win the Dow Jones Championship – the LPGA Tour's only team format event – in June."
2024-10-27,https://www.thestar.com.my/sport/golf/2024/10/27/lpga-boss-lauds-kl-tournament,"THE second edition of the Maybank Championship is scheduled to come to a close today, and it promises just as much excitement and intrigue as it has delivered over the first three days. Now a regular stop on the LPGA Tour, the Maybank Championship was lauded as being among the favourite events on the women’s schedule."
2024-10-27,https://www.thestar.com.my/aseanplus/aseanplus-news/2024/10/27/meet-mirabel---all-primed-up-to-the-malaysia039s-next-big-039ting039-and-she-sure-is-on-her-way-after-superb-run-at-maybank-championships,MALAYSIA's top amateur Mirabel Ting may be only 18 but she proved to be way above her age in golf by finishing an impressive tied-12th today in her maiden LPGA Tour appearance at the Maybank Championship at the Kuala Lumpur Golf and Country Club on Sunday. And that performance also saw her emerging as the highest-placed Malaysian of the week in the RM13 million tournament.
2024-10-27,https://www.thestar.com.my/aseanplus/aseanplus-news/2024/10/27/039hot-aces039-day-continues-in-klgcc-as-hole-in-one-efforts-at-maybank-championship-raise-rm435000-for-charity,FIRST it was three and then there were two. Women golfers keep impressing the fans in the Maybank Championships played at the Kuala Lumpur Golf and Country Club in the final round on Sunday. Three golfers achieved the rare Hole-In-One feat on Saturday and fans saw another two more amazing shots on Sunday.
2024-10-27,https://www.thestar.com.my/aseanplus/aseanplus-news/2024/10/27/china039s-world-number-four-yin-ruoning-edges-past-her-close-friends-in-epic-victory-at-maybank-championships,"KUALA LUMPUR: In one of the epic finale that was seen in recent times, China's world number four Yin Ruoning fired seven birdies en route to winning the US$3 million (RM13 million) 2024 Maybank Championship at the Kuala Lumpur Golf and Country Club (KLGCC) on Sunday. It was an unforgettable victory for Ruoning too as winning was achieved by pipping Thailand's Jeeno Thitikul, her best friend, by one stroke and also upstage another close buddy inn the form of South Korean Ryu Hae-Ran."
2024-10-28,https://www.thestar.com.my/business/business-news/2024/10/28/tnb-maybank-weigh-on-fbm-klci-at-midday,"KUALA LUMPUR: The FBM KLCI reversed its strong start and slipped into negative territory by midday as selling pressure rose. At 12.30 pm, the market barometer fell by 0.15 of a point to 1,618.15 after reaching an intra-morning high of 1,630.39, weighed by losses in Tenaga Nasional and Maybank."
2024-10-29,https://www.thestar.com.my/business/business-news/2024/10/29/maybank-appoints-new-leaders-at-maybank-investment-bank,"Oh-Lau, who is also Maybank Investment Banking Group CEO since December 2022, will be responsible for growing the Malaysian business, reinforcing its position as the leading investment bank while driving regional leadership, Maybank said in a statement late on Monday."
2024-10-29,https://www.thestar.com.my/business/business-news/2024/10/29/maybank-ytl-stocks-drive-fbm-klci-higher-at-lunch-break,"KUALA LUMPUR: Gains in YTL Power, YTL Corp, and Maybank provided strong support for the FBM KLCI to close the morning session on a positive note. At lunch break, the FBM KLCI rose 4.49 points, or 0.28% to 1,614.96 after hitting an intra-morning high of 1,618.75."
2024-10-30,https://www.thestar.com.my/business/business-news/2024/10/30/maybank-appoints-giorgo-migliarina-as-new-group-chief-technology-and-digital-officer,"It said Migliarina, 56, will succeed Mohd Suhail Amar Suresh Abdullah, who will assume a new role as senior advisor in the president and group CEO's office."
2024-11-08,https://www.thestar.com.my/business/business-news/2024/11/08/maybank-islamic-asset-launches-misi-fund-for-corporate-and-institutional-investors,"KUALA LUMPUR: Maybank Islamic Asset Management Sdn Bhd (MIAM) has launched its wholesale fund, the Maybank Islamic Strategic Income Fund (MISI Fund), developed in strategic collaboration with Maybank Islamic Bhd. In a statement, MIAM said the MISI Fund is designed to enhance corporate and institutional investors' cash and liquidity management needs by offering a Shariah-compliant solution with the potential to generate net returns of up to 3.7% - 3.8% per annum."
